FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
24165;HS;11642870;8;A;8A;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;569770;166777
24166;HS;11642900;10;;10;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;569754;166806
24167;HS;11642926;12;A;12A;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;569707;166881
24168;HS;11642942;13;A;13A;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;569589;166995
24169;HS;11643230;37;;37;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;569253;166935
24170;HS;11643329;42;;42;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;569076;166812
24171;HS;11643574;18;;18;16276464;10093619;11026826;21429392;10252784;2016-06-02;2016-06-02;V;574941;167397
24172;HS;11643779;32;;32;16276464;10093619;11026826;21429392;10252784;2016-06-02;2016-06-02;V;574324;167182
24173;HS;11643795;34;;34;16276464;10093619;11026826;21429392;10252784;2016-06-02;2016-06-02;V;574241;167073
24174;HS;11643868;40;A;40A;16276464;10093619;11026826;21429392;10252784;2016-06-02;2016-06-02;V;574131;166940
